seriesId,platformId,platformUrl
1ef30d3f-9560-6b96-83a7-486bda79cd9c,11,https://www.sky.com/watch/sky-go/all?uuid=372aee2a-1833-4b80-9fc3-4aadc097c022&videoId=7548339
1ef30d3f-9560-6b96-83a7-486bda79cd9c,17,http://www.bbc.co.uk/iplayer/episode/m000319z
1ef30d3f-a21a-6b61-a4e0-9deeed124805,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.80a9f687-3e1a-8889-f5c8-ab07cc3f7f8d
1ef30d3f-a21a-6b61-a4e0-9deeed124805,5,https://www.skystore.com/product/curb-your-enthusiasm-season-1/3a8c8457-786f-4e53-898f-22366f46bc74
1ef30d3f-a21a-6b61-a4e0-9deeed124805,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxn6347
1ef30d3f-a21a-6b61-a4e0-9deeed124805,12,https://www.rakuten.tv/uk/tv_shows/curb-your-enthusiasm
1ef30d3f-a21a-6b61-a4e0-9deeed124805,13,https://uk.chili.com/content/curb-your-enthusiasm-2000/9db8b08e-80ab-4dbe-b90e-75a85aea63a5?utm_campaign=buy_box&utm_medium=affiliation&utm_source=justwatch
1ef30d3f-a21a-6b61-a4e0-9deeed124805,2,https://www.nowtv.com/watch/curb-your-enthusiasm/iYEQZ2uDbPiuTXRbUUJCcA/seasons/1/episodes/1/A5EK6949itCVqHgZg938j
1ef30d3f-a21a-6b61-a4e0-9deeed124805,4,https://tv.apple.com/gb/show/curb-your-enthusiasm/umc.cmc.4koxxcdkbia1pne6zkt72mhva?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d3f-b0c6-664c-aec4-7d089dd16f2e,8,http://www.netflix.com/title/81557031
1ef30d3f-bb7b-6a3d-b4c2-6dd054b40d50,15,https://tv.apple.com/gb/episode/olivia/umc.cmc.77zptii35zhvyecqk4ajlr7cm?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AA0076501001&showId=umc.cmc.4r6q7tdquewehwvb3rzl0k3dt
1ef30d3f-c82f-677e-94ab-70fbf051902f,17,http://www.bbc.co.uk/iplayer/episode/m001snkh
1ef30d3f-c82f-677e-94ab-70fbf051902f,4,https://tv.apple.com/gb/show/kin/umc.cmc.11g1p6p9si510w3gbuepoyqvq?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
